127.0.0.1 - - [01/Oct/2018:16:36:50 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:36:54 +0530] "GET /bulk-data-api/ HTTP/1.1" 200 18414
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:36:54 +0530] "GET /bulk-data-api/view/images/site/healthit.gov.logo.png HTTP/1.1" 200 37541
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:36:54 +0530] "GET /bulk-data-api/view/js/jquery-1.11.1.js HTTP/1.1" 200 282766
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:36:55 +0530] "GET /bulk-data-api/view/css/fhir.css HTTP/1.1" 200 34395
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:36:55 +0530] "GET /bulk-data-api/view/css/bootstrap.css HTTP/1.1" 200 147891
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:36:55 +0530] "GET /bulk-data-api/view/js/url.js HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:36:55 +0530] "GET /bulk-data-api/view/js/bootstrap.js HTTP/1.1" 200 68890
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:36:55 +0530] "GET /bulk-data-api/view/js/remarkable.min.js HTTP/1.1" 200 98059
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:37:07 +0530] "GET /bulk-data-api/ HTTP/1.1" 200 18414
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:37:15 +0530] "GET /bulk-data-api/ HTTP/1.1" 200 18414
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:37:15 +0530] "GET /bulk-data-api/view/images/site/healthit.gov.logo.png HTTP/1.1" 200 37541
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:37:15 +0530] "GET /bulk-data-api/view/js/jquery-1.11.1.js HTTP/1.1" 200 282766
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:37:15 +0530] "GET /bulk-data-api/view/css/bootstrap.css HTTP/1.1" 200 147891
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:37:15 +0530] "GET /bulk-data-api/view/css/fhir.css HTTP/1.1" 200 34395
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:37:15 +0530] "GET /bulk-data-api/view/js/url.js HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:37:15 +0530] "GET /bulk-data-api/view/js/remarkable.min.js HTTP/1.1" 200 98059
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:37:15 +0530] "GET /bulk-data-api/view/js/bootstrap.js HTTP/1.1" 200 68890
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:37:15 +0530] "GET /bulk-data-api/view/images/site/bg-header-1920x170.png HTTP/1.1" 200 16940
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:37:16 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:41:10 +0530] "GET /bulk-data-api/fhir/Patient/$export HTTP/1.1" 401 1100
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:46:27 +0530] "GET /bulk-data-api/fhir/Patient/ HTTP/1.1" 401 1100
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:46:29 +0530] "GET /bulk-data-api/fhir/Patient/ HTTP/1.1" 401 1100
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:46:41 +0530] "GET /bulk-data-api/ HTTP/1.1" 200 18414
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:47:16 +0530] "GET /bulk-data-api/ HTTP/1.1" 200 18414
0:0:0:0:0:0:0:1 - - [01/Oct/2018:16:47:25 +0530] "GET /bulk-data-api/fhir/Patient/$export HTTP/1.1" 401 1100
